requirement_id,section,domain,requirement,status,severity,evidence,gap,recommended_phase
POS-01.01,1 Autorité,Governance,"Hiérarchie des décisions respectée par le code",DONE,P1,"docs/00-decisions/DECISION_LOG.md; 321 LOCKED / 31 OPEN; code cite les IDs (UX-HUB-005, ENG-031)","",-
POS-02.01,2 D1,Architecture,"Trader Hub et WariX sont deux shells visuels distincts",DONE,P0,"apps/web/app/(platform)/HubShell.tsx vs apps/web/app/(trade)/trade/workstation/WorkstationShell.tsx","",-
POS-02.02,2 D2,Hub,"Dashboard est l'accueil du Trader Hub",DONE,P1,"apps/web/app/(platform)/hub/page.tsx; redirect post-login vers /hub","",-
POS-02.03,2 D3,WariX,"WariX n'est jamais une surface commerciale",DONE,P1,"grep offres/checkout dans (trade) = 0 résultat","",-
POS-02.04,2 D4,Auth,"Destination par défaut après login = /hub",DONE,P1,"apps/web/app/(auth)/actions.ts; waitForURL('**/hub') dans les E2E","",-
POS-02.05,2 D5,Product,"WARIBA V1 reste simulé",DONE,P0,"productCopy 'Compte simulé'; AccountHero affiche la mention légale","",-
POS-02.06,2 D6,Lifecycle,"Réussite n'est pas activation immédiate",DONE,P0,"state-machines.ts pass_pending -> passed; account-lifecycle.ts objective_reached/under_review","",-
POS-02.07,2 D7,KYC,"KYC au premier payout financièrement éligible",PARTIAL,P0,"payout-lifecycle.ts eligible_kyc_required; kyc-state.ts","KYC_PROVIDER_INTEGRATED = false; aucun provider",3.5
POS-02.08,2 D8,Risk,"Breach immuable",DONE,P0,"app.risk_violations; account_state_transitions; lifecycle.terminal","",-
POS-02.09,2 D9,Hub,"Add Account est une action, pas une destination égale",DONE,P2,"hub-destinations.tsx emphasis: 'cta'","",-
POS-02.10,2 D10,Risk,"Trading pendant payout = OPEN",INTENTIONALLY_DEFERRED,P2,"OPEN-RISK-001 dans §117; registre OPEN","",-
POS-03.01,3 Vocabulaire,Product,"Vocabulaire produit canonique appliqué",DONE,P2,"apps/web/lib/product-copy.ts centralise la copie FR","",-
POS-04.01,4 Programme,Product,"WARIBA ONE et Performance reflétés dans l'UI",DONE,P1,"account-display.ts programLabel; policy_versions par programme","",-
POS-05.01,5 Architecture,Architecture,"Chaîne public->auth->commerce->hub->warix->lifecycle",PARTIAL,P0,"Toutes les étapes existent sauf review/payout externes","KYC + payout providers absents",3.5
POS-06.01,6 Routes,Public,"Route /",DONE,P1,"apps/web/app/(public)/page.tsx","",-
POS-06.02,6 Routes,Public,"Route /offres",DONE,P1,"apps/web/app/(public)/offres/page.tsx","",-
POS-06.03,6 Routes,Public,"Route /programme",DONE,P1,"apps/web/app/(public)/programme/page.tsx","",-
POS-06.04,6 Routes,Public,"Route /regles",MISSING,P1,"find apps/web/app -> aucune route /regles","Règles publiques accessibles seulement via /programme#regles",3.4
POS-06.05,6 Routes,Public,"Route /warix",DONE,P1,"apps/web/app/(public)/warix/page.tsx + démo interactive","",-
POS-06.06,6 Routes,Public,"Route /confiance",MISSING,P1,"aucune route /confiance","Page confiance/trust absente",3.4
POS-06.07,6 Routes,Public,"Route /aide",DONE,P1,"Centre d'aide réel : registre typé (apps/web/content/help), recherche classée, pages catégorie et article, valeurs liées à la policy publiée","",-
POS-06.08,6 Routes,Public,"Route /support",DONE,P0,"apps/web/app/support/page.tsx + layout.tsx : une route, deux publics (shell choisi selon la session)","",-
POS-06.09,6 Routes,Public,"Route /status",MISSING,P1,"aucune route; OPS-010 LOCKED 'Status page avant public'","Exigence LOCKED non satisfaite; OPS-011 provider OPEN",3.4
POS-06.10,6 Routes,Public,"Routes /legal/*",DONE,P1,"conditions, confidentialite, risques présentes","",-
POS-06.11,6 Routes,Auth,"6 routes auth canoniques",DONE,P0,"login, inscription, verification-email, mot-de-passe-oublie, recuperation, session-expiree","",-
POS-06.12,6 Routes,Commerce,"Routes checkout canoniques",DONE,P0,"checkout, checkout/success, checkout/echec, bienvenue","",-
POS-06.13,6 Routes,Hub,"Route /hub",DONE,P0,"apps/web/app/(platform)/hub/page.tsx","",-
POS-06.14,6 Routes,Hub,"Route /comptes",DONE,P1,"apps/web/app/(platform)/comptes/page.tsx","",-
POS-06.15,6 Routes,Hub,"Route /comptes/{accountId}",MISSING,P1,"seules /comptes et /comptes/nouveau existent","Aucun détail de compte; Constitution §32 l'exige",3.3
POS-06.16,6 Routes,Hub,"Route /performance",DONE,P1,"apps/web/app/(platform)/performance/page.tsx","",-
POS-06.17,6 Routes,Hub,"Route /payouts",DONE,P0,"apps/web/app/(platform)/payouts/page.tsx","",-
POS-06.18,6 Routes,Hub,"Route /facturation",DONE,P1,"apps/web/app/(platform)/facturation/page.tsx","",-
POS-06.19,6 Routes,Hub,"Route /notifications",INTENTIONALLY_DEFERRED,P1,"ENG-031 LOCKED + UX-HUB-010 LOCKED défèrent explicitement","Conflit Constitution §43 vs décisions LOCKED - voir CONFLICT-01",-
